t,xj166,xj167,xj168,xj169,xj170,xj178,xj2
413.75,-999.25,10956.4619,11046.5977,2311.3413,9933.2021,9889.9336,9879.0361
413.875,-999.25,11080.3223,10971.0371,2284.6558,9967.5273,9835.4287,7792.6196
414,-999.25,11080.3223,10692.7881,2309.3884,10039.8252,10076.2324,8550.8994
414.125,-999.25,11080.3223,10443.4482,2347.7654,10040.4727,10170.5947,10885.7842
414.25,-999.25,11080.7197,10362.2002,2347.5132,10163.6143,10190.1943,12111.2109
414.375,-999.25,10937.5342,10236.4004,2347.2898,10451.5703,10177.1729,12531.207
414.5,-999.25,10743.6416,10367.5527,2347.1345,10573.7891,10193.6992,12219.4795
414.625,-999.25,10884.0967,9701.8301,2304.1238,10359.2959,10229.6602,12168.5439
414.75,-999.25,10959.4414,7200.9087,2249.2605,10235.4219,10031.6895,11828.5381
414.875,-999.25,11012.084,4570.3921,4522.9775,10510.6172,10197.4932,11452.4287
415,-999.25,11160.1895,3274.9937,2530.9387,10506.627,10350.6953,10353.0938
415.125,-999.25,11163.7676,2849.2607,3267.583,10567.832,10490.3203,10217.0928
415.25,-999.25,10970.1885,2537.3823,8115.2671,10563.8408,10514.5723,11094.1006
415.375,-999.25,10734.5059,2537.3823,11148.1758,10368.873,10508.0693,11643.4111
415.5,-999.25,10589.498,2537.3823,13368.708,10302.0547,10201.7412,11891.3662
415.625,-999.25,10580.5117,2537.3823,12988.4453,10104.5693,9790.3887,11581.3916
415.75,-999.25,10344.3896,2537.3823,12240.5635,10054.3633,9670.792,12032.4844
415.875,-999.25,10067.748,2491.0774,11680.9834,10223.3164,9688.7578,11981.207
416,-999.25,9042.0713,2464.686,12223.457,10466.3457,9896.5889,11602.8086
416.125,-999.25,7763.0894,2396.3743,12584.1885,10889.9951,10028.5742,11058.7051
416.25,-999.25,8661.9307,2392.6084,12159.583,11012.5986,10162.5303,10876.2051
416.375,-999.25,9629.5508,2355.4939,11339.8389,10502.3477,10098.8057,10774.248
416.5,-999.25,10205.1826,2322.0325,11458.5205,10164.8408,10150.7402,11114.9941
416.625,-999.25,10321.9561,2258.9116,11333.4951,10057.1797,10300.2695,12341.082
416.75,-999.25,10230.5557,2314.4119,11151.4912,10142.1875,10130.8154,12032.9736
416.875,-999.25,9953.6768,2991.3567,11114.8105,10200.9951,10310.624,11974.4238
417,-999.25,9313.9121,3672.6396,11199.4521,10337.333,10146.04,12150.167
417.125,-999.25,9511.8975,4022.6599,11199.4521,10649.2207,10055.1123,11483.9727
417.25,-999.25,9417.124,4947.9775,11088.3994,10666.3086,10057.291,11375.0117
417.375,-999.25,9070.8779,6857.5669,11058.3623,10310.6436,10376.5547,11864.4824
417.5,-999.25,9080.627,8929.9316,10940.5586,10204.8076,10434.9502,11790.9775
417.625,-999.25,8964.3975,9777.2471,11043.8584,10169.6729,10328.3887,11861.3477
417.75,-999.25,9654.1289,9648.9932,11188.6328,10049.1553,10111.834,11462.7227
417.875,-999.25,10386.8877,9691.5469,11054.25,9947.7432,9944.6084,11450.9053
418,-999.25,10859.0459,9934.582,11120.4277,10066.7373,9644.5869,11704.9629
418.125,-999.25,11148.0146,9877.3271,11311.9521,10151.251,9766.873,11220.8047
418.25,-999.25,11243.3799,9600.0752,11592.5371,10218.5283,9833.4268,10464.8809
418.375,-999.25,10901.2578,10116.3799,11471.7451,10354.0596,10044.9697,10717.9346
418.5,-999.25,10397.8291,10123.0752,11287.8213,10275.5996,10357.7891,11009.6162
418.625,-999.25,10278.752,10034.0732,11255.8174,10212.8584,10564.2031,10748.1494
418.75,-999.25,10195.4082,9777.957,11295.4102,10116.9307,10656.7061,10319.9531
418.875,-999.25,9864.9482,9790.9297,11186.2139,10083.8184,10643.7959,9682.8818
419,-999.25,9555.8896,10339.5234,11060.9971,10219.1016,10321.3672,9603.7275
419.125,-999.25,9413.6992,10695.8457,11183.7324,10359.293,10167.5234,10321.9932
419.25,-999.25,9470.75,10816.1094,11122.6836,10360.0342,10401.0039,10296.3994
419.375,-999.25,9916.6895,10953.0527,11043.4297,10279.8369,10639.3135,10601.502
419.5,-999.25,10234.4795,10814.2402,11051.7363,10220.4893,10776.5322,10193.8672
419.625,-999.25,10305.7529,10814.2402,11111.9619,10220.4893,10787.2422,12731.2656
419.75,-999.25,10685.3721,10692.7588,11040.8389,10168.498,10641.0205,11109.79
419.875,-999.25,10758.1973,10662.6758,11038.6338,10147.7881,10611.8271,11039.8975
420,-999.25,10879.6943,10740.0469,11038.3926,10419.2598,10612.5869,10687.5117
420.125,-999.25,10879.6943,10812.374,11037.8115,10509.9805,10367.0293,10812.4414
420.25,-999.25,10880.7021,10812.0479,11181.5371,10457.5469,10129.0537,10918.8438
420.375,-999.25,10881.2129,10810.5078,11242.1045,10369.4258,10575.4453,11059.4424
420.5,-999.25,11008.8555,10810.5078,11059.8037,10369.4258,11064.5664,10567.3594
420.625,-999.25,11278.4707,10844.7686,11202.3496,10369.4258,10649.2988,10361.9922
420.75,-999.25,11455.3125,10961.2412,11161.7637,10280.1328,10511.0771,10899.4502
420.875,-999.25,11283.2891,10898.7568,10905.6738,10228.9707,10591.4463,11544.5898
421,-999.25,10997.2188,10807.7109,10701.21,10231.4229,10509.4717,11793.4502
421.125,-999.25,10965.1826,10784.0703,10807.126,10374.5527,10440.3965,11426.2168
421.25,-999.25,11016.0439,10657.1162,11155.1172,10374.5527,10782.6338,10979.9697
421.375,-999.25,11017.9443,11255.3184,11166.3691,10421.2813,11181.7764,10531.5693
421.5,-999.25,11019.1016,11261.0693,11135.252,10519.4424,11284.4131,10374.0586
421.625,-999.25,11006.4854,11261.0693,11026.3096,10589.29,10698.7031,10270.043
421.75,-999.25,10875.9248,11261.0693,10965.542,10665.8633,10028.1455,10278.1113
421.875,-999.25,10674.0117,11261.0693,10886.1904,10541.7275,9678.2666,10545.7676
422,-999.25,9508.2539,11261.0693,10884.6885,10522.8818,9906.6025,11325.2637
422.125,-999.25,9815.7744,11261.0693,10860.2471,10659.0283,10361.3965,10470.3564
422.25,10671.6416,10815.6953,11022.0293,10688.6182,10669.668,10486.5957,10271.2627
422.375,10750.6904,11057.5693,10889.6426,10657.0508,10671.1992,10410.1025,9517.5244
422.5,10737.252,10900.9668,11284.1475,10922.6934,10672.2666,10246.5742,10027.2578
422.625,10707.2803,10901.3896,11606.0928,11277.4111,10607.4092,10214.459,10768.1211
422.75,10916.5225,10819.3936,11118.1123,11397.6641,10582.1348,10438.6582,10836.6914
422.875,10769.6152,10528.999,10602.8096,11185.3867,10827.9131,10700.0068,10602.2227
423,10721.5957,10349.3291,10641.7285,11263.8779,10853.7061,10365.8887,10527.3232
423.125,10704.3125,10388.832,10785.583,11745.9482,10610.5146,10173.8398,10973.8818
423.25,10750.1309,9778.2129,10649.2969,11463.4561,10626.8369,10232.1289,11029.5352
423.375,10640.3525,8566.2607,10554.6895,10830.3604,10355.1807,10232.1289,10670.8691
423.5,10606.7129,6577.5293,10430.1084,11130.4102,10242.46,10257.7852,11074.4727
423.625,10680.5313,4438.1646,10349.0547,11307.626,10616.7061,10232.458,10325.7637
423.75,10759.2236,3933.0776,10393.7764,10925.0791,11060.5078,10244.7998,9158.1104
423.875,10756.8359,3815.176,10496.543,10938.3086,10963.1162,10260.6523,9313.6934
424,10728.8467,3105.7266,10495.7861,11030.8369,10683.168,10259.627,9807.5
424.125,10728.8467,2601.4058,10494.708,11145.7168,10645.4756,10087.5078,10319.3486
424.25,10724.4678,2577.0049,10494.708,11266.6455,11051.9473,9927.8672,10449.6748
424.375,10724.2363,2637.9248,10631.0078,11246.0713,11257.5703,9958.1836,10404.9883
424.5,10682.4648,2622.0161,10532.1689,10965.2578,11081.6826,10198.9063,10156.3613
424.625,10683.9385,2578.1133,10455.8682,10517.1191,10840.668,10988.5566,9764.9873
424.75,10758.4346,2578.1133,10343.5801,10454.9121,10675.4316,11315.0371,9706.9102
424.875,10804.3418,2518.9773,10343.5801,10320.7705,10543.8379,11064.9648,10226.4287
425,10828.3955,2485.8306,10224.7891,10356.6934,10523.9316,10744.0508,10544.3594
425.125,10833.333,2457.916,10308.5332,10535.2666,10295.6924,10766.2012,10398.8086
425.25,10801.2988,2450.8088,9892.2188,10723.123,10193.6943,10875.7803,10289.6816
425.375,10891.79,2398.7405,8027.2856,10721.9072,10461.8242,11060.959,10297.834
425.5,10885.9365,2358.0847,7564.8105,10720.4814,10667.8115,11153.4756,10186.0234
425.625,10910.0215,2410.8477,9435.3193,10719.6836,10693.9424,10964.9111,10268.7461
425.75,10991.3359,3520.5779,10626.6514,10718.8633,10550.4688,10784.1064,10680.1807
425.875,11120.9219,7753.3213,10887.0449,10776.2031,10659.2666,10672.9121,10582.6387
426,11155.5176,10424.0322,11017.0127,10950.0156,10842.1836,10630.3828,10462.5596
426.125,11104.2119,10702.5986,10916.2188,10991.3496,10943.3896,10818.415,10451.0293
